mut_par_size	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.003010	0.981550	0.249693	0.737647	10.000000	11.419353	10.003040	2999
0.250000	0.001800	0.988003	0.249397	0.741047	10.000000	11.660984	10.003181	2999
0.250000	0.000613	0.995293	0.249823	0.746450	10.000000	12.317814	10.003431	2999
0.250000	0.000003	0.999997	0.250607	0.750523	10.000000	14.064422	10.002980	2999
0.250000	0.001500	0.988937	0.250330	0.742943	10.000000	12.080024	10.002970	2999
0.250000	0.001033	0.992833	0.250300	0.744640	10.000000	11.538329	10.002620	2999
0.250000	0.004733	0.967673	0.249030	0.727833	10.000000	11.220896	10.003678	2999
0.250000	0.002207	0.981177	0.249120	0.736510	10.000000	11.331611	10.003040	2999
0.250000	0.002107	0.984547	0.250013	0.738157	10.000000	12.391791	10.003142	2999
0.250000	0.003663	0.976713	0.249807	0.732673	10.000000	11.284121	10.002953	2999
0.250000	0.001287	0.988113	0.249293	0.741373	10.000000	11.459919	10.003030	2999
0.250000	0.000050	0.999747	0.250757	0.749600	10.000000	13.518676	10.002530	2999
0.250000	0.001450	0.989487	0.250147	0.742023	10.000000	11.439584	10.003230	2999
0.250000	0.000577	0.996083	0.250403	0.748610	10.000000	11.680714	10.002735	2999
0.250000	0.001823	0.986710	0.249707	0.741210	10.000000	11.599878	10.002854	2999
0.250000	0.000760	0.994197	0.250610	0.745097	10.000000	11.838973	10.003107	2999
0.250000	0.000000	1.000000	0.250377	0.750117	10.000000	16.635580	10.003077	2999
0.250000	0.001460	0.992297	0.249450	0.744337	10.000000	12.555814	10.002805	2999
0.250000	0.001937	0.982567	0.250537	0.736077	10.000000	11.295367	10.003240	2999
0.250000	0.004140	0.974070	0.249813	0.730963	10.000000	11.247217	10.002562	2999
0.250000	0.001320	0.991333	0.249793	0.744107	10.000000	11.500318	10.003162	2999
0.250000	0.000603	0.997847	0.250777	0.749447	10.000000	12.453605	10.003103	2999
0.250000	0.004863	0.968760	0.249960	0.729007	10.000000	11.152567	10.002764	2999
0.250000	0.003020	0.978210	0.249900	0.733757	10.000000	11.347345	10.002874	2999
0.250000	0.002047	0.985500	0.249553	0.740323	10.000000	11.537900	10.002927	2999
0.250000	0.002223	0.986870	0.249613	0.740800	10.000000	11.925229	10.003445	2999
