"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.10857","0.65999","0.10720","0.66229","0.10693","0.31792"
"2","0.10840","0.66216","0.11267","0.65723","0.10154","0.32988"
"3","0.10733","0.66365","0.10687","0.66175","0.10554","0.33211"
"4","0.11051","0.66109","0.11107","0.65883","0.10527","0.29731"
"5","0.11121","0.65951","0.10661","0.66271","0.11054","0.34016"
