"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.5324","0.4226","0.5318","0.4209","0.3802","0.1683"
"2","0.5324","0.4239","0.5323","0.4230","0.3772","0.1623"
"3","0.5320","0.4223","0.5307","0.4184","0.3767","0.1592"
"4","0.5324","0.4223","0.5321","0.4229","0.3735","0.1599"
"5","0.5318","0.4214","0.5328","0.4243","0.3747","0.1602"
