"","size","size_thr","par_size","patt","patt_thr","par_patt"
"1","10.0000","10.2894","9.6858","NA","NA","NA"
"2","10.0000","10.2835","9.6989","NA","NA","NA"
"3","10.0000","10.2873","9.7091","NA","NA","NA"
"4","10.0000","10.2896","9.6665","NA","NA","NA"
"5","10.0000","10.2868","9.7079","NA","NA","NA"
