"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.25537","0.69331","0.25701","0.68891","0.13708","0.33846"
"2","0.25984","0.69002","0.25904","0.68982","0.13331","0.33179"
"3","0.25671","0.69110","0.25413","0.68755","0.13135","0.32947"
"4","0.25527","0.69293","0.25912","0.68947","0.13890","0.31939"
"5","0.25728","0.68913","0.25800","0.69295","0.13159","0.32804"
