"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.4344","0.4718","0.4343","0.4707","0.3155","0.2272"
"2","0.4332","0.4683","0.4338","0.4698","0.3319","0.2541"
"3","0.4342","0.4702","0.4338","0.4689","0.3249","0.2444"
"4","0.4337","0.4688","0.4333","0.4685","0.3149","0.2230"
"5","0.4340","0.4712","0.4343","0.4708","0.3149","0.2237"
