"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","10.0000","10.5324","9.8350","NA","NA","NA"
"2","10.0000","10.5628","9.8499","NA","NA","NA"
"3","10.0000","10.5335","9.8308","NA","NA","NA"
"4","10.0000","10.5369","9.8448","NA","NA","NA"
"5","10.0000","10.5259","9.8330","NA","NA","NA"
