mut_par_size	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.011747	0.939973	0.251670	0.708923	10.000000	11.932348	10.004045	2999
0.250000	0.018687	0.890477	0.250000	0.672023	10.000000	11.182234	10.196218	2999
0.250000	0.014667	0.905033	0.248993	0.682713	10.000000	11.120336	10.246192	2999
0.250000	0.011937	0.921843	0.249763	0.694727	10.000000	11.580851	9.924173	2999
0.250000	0.012203	0.940870	0.250047	0.709120	10.000000	11.445425	10.171339	2999
0.250000	0.012410	0.937577	0.251470	0.706043	10.000000	11.369716	10.076595	2999
0.250000	0.013423	0.925240	0.250827	0.697563	10.000000	11.217900	10.151176	2999
0.250000	0.017303	0.901507	0.251230	0.680197	10.000000	11.052361	10.136903	2999
0.250000	0.019490	0.865193	0.248700	0.653617	10.000000	11.036333	10.297397	2999
0.250000	0.017897	0.899037	0.251157	0.678927	10.000000	11.044189	10.132012	2999
0.250000	0.011227	0.943987	0.251690	0.709573	10.000000	11.675007	10.076569	2999
0.250000	0.011580	0.941233	0.250597	0.708143	10.000000	11.361306	10.078680	2999
0.250000	0.013650	0.925593	0.250160	0.696693	10.000000	11.649470	10.007752	2999
0.250000	0.012047	0.922733	0.249013	0.694490	10.000000	11.532137	9.932324	2999
0.250000	0.011357	0.948967	0.251200	0.714813	10.000000	11.523298	10.155880	2999
0.250000	0.013177	0.931263	0.251257	0.702147	10.000000	11.361745	10.068890	2999
0.250000	0.019167	0.906987	0.252810	0.684930	10.000000	11.234116	10.134371	2999
0.250000	0.016507	0.898607	0.249153	0.678317	10.000000	11.157611	10.209341	2999
0.250000	0.014927	0.916917	0.250747	0.692723	10.000000	11.143293	10.083842	2999
0.250000	0.015560	0.911477	0.249943	0.686613	10.000000	11.163973	10.147840	2999
0.250000	0.010640	0.938193	0.249800	0.706063	10.000000	11.826356	9.974369	2999
0.250000	0.012060	0.934073	0.249297	0.702290	10.000000	11.365392	10.016338	2999
0.250000	0.020053	0.870303	0.249260	0.658023	10.000000	11.001210	10.243887	2999
0.250000	0.010670	0.943947	0.250960	0.711333	10.000000	13.352420	9.998923	2999
0.250000	0.013640	0.922447	0.250193	0.694940	10.000000	11.311761	10.196592	2999
0.250000	0.010433	0.942333	0.250330	0.708250	10.000000	12.414286	9.982049	2999
0.250000	0.010737	0.948317	0.251140	0.714290	10.000000	11.669534	10.055965	2999
0.250000	0.010387	0.935727	0.249583	0.703763	10.000000	17.231311	9.941212	2999
0.250000	0.024447	0.844267	0.247947	0.639823	10.000000	10.959694	10.270106	2999
0.250000	0.014923	0.921980	0.250897	0.693970	10.000000	11.213499	10.046568	2999
0.250000	0.012143	0.933150	0.250587	0.703100	10.000000	11.270166	10.067505	2999
0.250000	0.014417	0.922257	0.250333	0.695680	10.000000	11.223852	10.074981	2999
0.250000	0.011163	0.955193	0.252097	0.719113	10.000000	12.488691	10.096792	2999
0.250000	0.010323	0.936020	0.249453	0.705643	10.000000	13.949035	9.948461	2999
0.250000	0.016877	0.914950	0.251187	0.691463	10.000000	11.674661	10.133528	2999
0.250000	0.010780	0.938950	0.250120	0.706530	10.000000	12.277155	9.965182	2999
0.250000	0.015653	0.892853	0.249417	0.674180	10.000000	11.089575	10.256030	2999
0.250000	0.012660	0.930970	0.250427	0.701057	10.000000	11.698026	10.016822	2999
0.250000	0.012877	0.933723	0.250470	0.704210	10.000000	11.426901	10.065710	2999
