mut_par_size	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.246490	0.637303	0.515990	0.383337	10.000000	10.300031	10.003007	2999
0.250000	0.291873	0.602053	0.517967	0.389423	10.000000	10.242592	10.003374	2999
0.250000	0.282963	0.609240	0.517813	0.388270	10.000000	10.253565	10.003405	2999
0.250000	0.265680	0.622663	0.516340	0.384880	10.000000	10.275211	10.002864	2999
0.250000	0.263020	0.624330	0.514500	0.386510	10.000000	10.278666	10.002852	2999
0.250000	0.242453	0.639360	0.515717	0.381447	10.000000	10.304714	10.002742	2999
0.250000	0.253900	0.631377	0.514730	0.385303	10.000000	10.289150	10.002711	2999
0.250000	0.299150	0.594700	0.517983	0.389017	10.000000	10.231780	10.002830	2999
0.250000	0.295310	0.599333	0.518453	0.388550	10.000000	10.238535	10.003222	2999
0.250000	0.268940	0.618260	0.514433	0.387190	10.000000	10.271010	10.002952	2999
0.250000	0.307627	0.590103	0.518900	0.390233	10.000000	10.223341	10.003182	2999
0.250000	0.252033	0.632937	0.515790	0.383293	10.000000	10.292596	10.002582	2999
0.250000	0.252977	0.633087	0.515340	0.385500	10.000000	10.291479	10.002960	2999
0.250000	0.252627	0.631543	0.515213	0.382550	10.000000	10.291673	10.003151	2999
0.250000	0.279757	0.611863	0.516497	0.389290	10.000000	10.255943	10.002765	2999
0.250000	0.272237	0.616563	0.515917	0.386267	10.000000	10.265294	10.002674	2999
0.250000	0.250370	0.633570	0.515093	0.383033	10.000000	10.294515	10.003010	2999
0.250000	0.250583	0.634840	0.516213	0.384307	10.000000	10.295489	10.002948	2999
0.250000	0.235767	0.645857	0.516573	0.380663	10.000000	10.314714	10.003405	2999
0.250000	0.239403	0.643537	0.516283	0.381483	10.000000	10.309361	10.003190	2999
0.250000	0.258887	0.627547	0.515933	0.384353	10.000000	10.285311	10.003505	2999
0.250000	0.258187	0.629643	0.515867	0.386013	10.000000	10.284751	10.002781	2999
0.250000	0.231497	0.648133	0.515997	0.378397	10.000000	10.321237	10.002945	2999
0.250000	0.233040	0.647513	0.517843	0.378367	10.000000	10.319050	10.002874	2999
0.250000	0.276963	0.612237	0.516263	0.387030	10.000000	10.261246	10.003457	2999
0.250000	0.269100	0.620660	0.516367	0.386973	10.000000	10.270098	10.003173	2999
0.250000	0.276843	0.613947	0.516270	0.388553	10.000000	10.260949	10.003119	2999
0.250000	0.284303	0.607327	0.516497	0.388153	10.000000	10.251708	10.002904	2999
0.250000	0.254210	0.630533	0.515187	0.383920	10.000000	10.289953	10.003132	2999
0.250000	0.253670	0.630413	0.514277	0.383303	10.000000	10.289240	10.003382	2999
0.250000	0.223820	0.653677	0.517007	0.377160	10.000000	10.330761	10.002637	2999
0.250000	0.296990	0.597937	0.517337	0.390073	10.000000	10.235029	10.002846	2999
0.250000	0.256477	0.628523	0.514793	0.383607	10.000000	10.287436	10.003187	2999
0.250000	0.268640	0.619627	0.515847	0.387200	10.000000	10.271616	10.002836	2999
0.250000	0.238643	0.644877	0.516447	0.381593	10.000000	10.311530	10.003396	2999
0.250000	0.236997	0.644133	0.516487	0.379850	10.000000	10.313237	10.003043	2999
0.250000	0.217153	0.659767	0.519317	0.374560	10.000000	10.340628	10.002918	2999
0.250000	0.218190	0.660890	0.518923	0.376480	10.000000	10.341811	10.003303	2999
0.250000	0.234377	0.646403	0.516067	0.379607	10.000000	10.316803	10.002996	2999
0.250000	0.245477	0.637887	0.514993	0.383113	10.000000	10.301305	10.003202	2999
0.250000	0.267583	0.620677	0.515443	0.386720	10.000000	10.272246	10.003021	2999
0.250000	0.212980	0.664040	0.520320	0.373310	10.000000	10.349686	10.003162	2999
0.250000	0.235770	0.645787	0.516857	0.380423	10.000000	10.315121	10.003240	2999
0.250000	0.281570	0.610873	0.516343	0.389957	10.000000	10.255672	10.003500	2999
0.250000	0.255563	0.631147	0.514690	0.386387	10.000000	10.288974	10.003567	2999
0.250000	0.266040	0.622947	0.516900	0.385493	10.000000	10.275244	10.003063	2999
0.250000	0.271470	0.616383	0.514690	0.386983	10.000000	10.268002	10.002731	2999
0.250000	0.277450	0.611377	0.515730	0.386187	10.000000	10.260311	10.003181	2999
0.250000	0.265627	0.621823	0.515037	0.385530	10.000000	10.274459	10.002730	2999
0.250000	0.264213	0.622743	0.515387	0.386260	10.000000	10.276526	10.003037	2999
0.250000	0.255403	0.628810	0.514737	0.384063	10.000000	10.289016	10.003511	2999
0.250000	0.282900	0.609127	0.519113	0.386057	10.000000	10.254521	10.002952	2999
0.250000	0.257013	0.629247	0.515240	0.384253	10.000000	10.285596	10.002629	2999
0.250000	0.257027	0.629640	0.516377	0.385497	10.000000	10.285982	10.003207	2999
0.250000	0.287160	0.605713	0.517410	0.388823	10.000000	10.247507	10.003053	2999
0.250000	0.227497	0.650823	0.517040	0.377407	10.000000	10.326560	10.002966	2999
0.250000	0.228370	0.652100	0.517057	0.379050	10.000000	10.325943	10.003387	2999
0.250000	0.243753	0.637697	0.514627	0.382353	10.000000	10.302811	10.002907	2999
0.250000	0.240983	0.641493	0.516003	0.380763	10.000000	10.308216	10.002976	2999
0.250000	0.306530	0.591323	0.518470	0.392210	10.000000	10.224220	10.003278	2999
0.250000	0.282040	0.607947	0.516237	0.387360	10.000000	10.253588	10.002758	2999
0.250000	0.262547	0.624460	0.514513	0.386630	10.000000	10.279780	10.002954	2999
0.250000	0.243770	0.638443	0.515123	0.381840	10.000000	10.303618	10.002664	2999
0.250000	0.238910	0.643987	0.516470	0.381363	10.000000	10.310940	10.002814	2999
0.250000	0.251583	0.631443	0.514597	0.382313	10.000000	10.294274	10.003728	2999
0.250000	0.241547	0.640793	0.516023	0.381360	10.000000	10.306134	10.002757	2999
0.250000	0.257060	0.630723	0.516093	0.385590	10.000000	10.287378	10.003184	2999
0.250000	0.293630	0.599997	0.517643	0.389567	10.000000	10.239750	10.003081	2999
0.250000	0.257777	0.627710	0.514803	0.384473	10.000000	10.283542	10.002430	2999
0.250000	0.265520	0.622107	0.515000	0.386233	10.000000	10.274190	10.002510	2999
0.250000	0.272367	0.616390	0.515160	0.387177	10.000000	10.266337	10.003607	2999
0.250000	0.282747	0.607487	0.516163	0.386910	10.000000	10.252583	10.003043	2999
0.250000	0.270910	0.618490	0.515793	0.386820	10.000000	10.268781	10.002947	2999
0.250000	0.283017	0.607830	0.515913	0.387877	10.000000	10.252846	10.003020	2999
0.250000	0.233953	0.645020	0.516087	0.378410	10.000000	10.316983	10.002713	2999
0.250000	0.230930	0.650320	0.517153	0.379343	10.000000	10.322036	10.003025	2999
0.250000	0.251140	0.633780	0.516277	0.383200	10.000000	10.294939	10.003079	2999
0.250000	0.259847	0.625653	0.515700	0.384617	10.000000	10.282132	10.003257	2999
0.250000	0.263810	0.622680	0.514737	0.384793	10.000000	10.276534	10.003075	2999
0.250000	0.297597	0.595733	0.516953	0.389093	10.000000	10.233907	10.003281	2999
0.250000	0.233717	0.646610	0.516747	0.378900	10.000000	10.318203	10.003277	2999
0.250000	0.289750	0.605250	0.518510	0.390047	10.000000	10.246579	10.003325	2999
0.250000	0.262200	0.624287	0.515113	0.385607	10.000000	10.279959	10.002996	2999
0.250000	0.246667	0.636620	0.514763	0.382280	10.000000	10.299427	10.003080	2999
0.250000	0.283217	0.608537	0.516377	0.389017	10.000000	10.252296	10.002967	2999
0.250000	0.248290	0.635150	0.515370	0.382740	10.000000	10.298124	10.002673	2999
0.250000	0.251203	0.634233	0.516113	0.384223	10.000000	10.294056	10.003049	2999
0.250000	0.289227	0.605110	0.516830	0.391487	10.000000	10.245212	10.003210	2999
0.250000	0.304353	0.592080	0.518393	0.390510	10.000000	10.225505	10.002557	2999
0.250000	0.226267	0.653453	0.517970	0.377010	10.000000	10.329549	10.003583	2999
0.250000	0.250933	0.633303	0.516370	0.382773	10.000000	10.294558	10.003300	2999
0.250000	0.266400	0.621437	0.515827	0.386413	10.000000	10.274344	10.003163	2999
0.250000	0.262330	0.622983	0.514350	0.385003	10.000000	10.278923	10.002822	2999
0.250000	0.265387	0.620937	0.514863	0.385913	10.000000	10.274761	10.003069	2999
0.250000	0.265013	0.623577	0.514820	0.387260	10.000000	10.276280	10.003326	2999
0.250000	0.229947	0.650213	0.516257	0.379990	10.000000	10.322651	10.002830	2999
0.250000	0.266057	0.620707	0.514640	0.386430	10.000000	10.273138	10.002705	2999
0.250000	0.279103	0.610263	0.516477	0.387787	10.000000	10.257139	10.003453	2999
0.250000	0.255117	0.631167	0.515827	0.384387	10.000000	10.288459	10.003042	2999
0.250000	0.241890	0.639227	0.516367	0.379787	10.000000	10.306566	10.003422	2999
0.250000	0.210340	0.394373	0.434800	0.220650	10.000000	10.351361	10.502797	2999
0.250000	0.186020	0.416983	0.433717	0.220993	10.000000	10.389284	10.503086	2999
0.250000	0.164913	0.441553	0.437210	0.221887	10.000000	10.425655	10.502960	2999
0.250000	0.210303	0.393033	0.434897	0.219517	10.000000	10.351020	10.502712	2999
0.250000	0.224990	0.379313	0.436357	0.218610	10.000000	10.330040	10.502851	2999
0.250000	0.223703	0.380413	0.436230	0.219250	10.000000	10.332378	10.502755	2999
0.250000	0.184647	0.418947	0.434373	0.221013	10.000000	10.392630	10.502834	2999
0.250000	0.189383	0.413613	0.433863	0.221377	10.000000	10.382550	10.502560	2999
0.250000	0.175013	0.430763	0.435387	0.221580	10.000000	10.407147	10.502895	2999
0.250000	0.202773	0.401603	0.434753	0.221393	10.000000	10.362743	10.502733	2999
0.250000	0.204550	0.399097	0.433953	0.220433	10.000000	10.361113	10.502753	2999
0.250000	0.214113	0.389167	0.435297	0.219317	10.000000	10.345672	10.502363	2999
0.250000	0.156920	0.451573	0.438867	0.222683	10.000000	10.440318	10.503062	2999
0.250000	0.171463	0.434307	0.435067	0.222940	10.000000	10.414178	10.503009	2999
0.250000	0.179503	0.424043	0.434570	0.221507	10.000000	10.399593	10.502826	2999
0.250000	0.170390	0.434520	0.434990	0.221763	10.000000	10.415066	10.502483	2999
0.250000	0.158443	0.449463	0.438953	0.222750	10.000000	10.435934	10.502475	2999
0.250000	0.191803	0.411943	0.433873	0.221307	10.000000	10.380245	10.502306	2999
0.250000	0.175180	0.429263	0.434830	0.222273	10.000000	10.407628	10.502279	2999
0.250000	0.229500	0.376067	0.437597	0.218040	10.000000	10.323894	10.502849	2999
0.250000	0.208460	0.395027	0.434570	0.220057	10.000000	10.354585	10.502473	2999
0.250000	0.193113	0.409880	0.433790	0.219757	10.000000	10.377856	10.503082	2999
0.250000	0.194347	0.408287	0.433947	0.220317	10.000000	10.376728	10.502962	2999
0.250000	0.221513	0.384583	0.436183	0.220037	10.000000	10.336528	10.502809	2999
0.250000	0.171187	0.434490	0.436313	0.222123	10.000000	10.413911	10.502908	2999
0.250000	0.202260	0.401617	0.434463	0.221000	10.000000	10.364659	10.502855	2999
0.250000	0.186787	0.417017	0.435170	0.221637	10.000000	10.387162	10.502760	2999
0.250000	0.189337	0.414470	0.434610	0.220903	10.000000	10.383898	10.502452	2999
0.250000	0.183797	0.419890	0.434800	0.221343	10.000000	10.392860	10.502580	2999
0.250000	0.205740	0.398353	0.434567	0.221217	10.000000	10.357823	10.502383	2999
0.250000	0.187603	0.416900	0.435177	0.221237	10.000000	10.388089	10.502982	2999
0.250000	0.190223	0.414130	0.434230	0.221383	10.000000	10.382502	10.502465	2999
0.250000	0.183050	0.422077	0.435080	0.221350	10.000000	10.394851	10.502698	2999
0.250000	0.206253	0.400850	0.438857	0.219273	10.000000	10.361852	10.502516	2999
0.250000	0.190673	0.412957	0.434120	0.222223	10.000000	10.381164	10.502406	2999
0.250000	0.206030	0.396987	0.434633	0.219657	10.000000	10.357585	10.502584	2999
0.250000	0.196137	0.407827	0.434167	0.221560	10.000000	10.372506	10.502463	2999
0.250000	0.165690	0.440493	0.436440	0.221953	10.000000	10.423432	10.502872	2999
0.250000	0.195097	0.406320	0.433480	0.218843	10.000000	10.375427	10.502777	2999
0.250000	0.208493	0.394960	0.434533	0.221153	10.000000	10.354380	10.502533	2999
0.250000	0.197240	0.407230	0.437290	0.219120	10.000000	10.374878	10.503117	2999
0.250000	0.209477	0.394980	0.435223	0.219547	10.000000	10.352893	10.502782	2999
0.250000	0.210423	0.394927	0.436403	0.220187	10.000000	10.351804	10.502125	2999
0.250000	0.176733	0.427930	0.435480	0.221633	10.000000	10.404466	10.502419	2999
0.250000	0.190143	0.412907	0.434457	0.220683	10.000000	10.382853	10.502892	2999
0.250000	0.179103	0.423160	0.434037	0.220243	10.000000	10.400219	10.502462	2999
0.250000	0.148670	0.460727	0.440253	0.222163	10.000000	10.453361	10.502187	2999
0.250000	0.171653	0.431607	0.435373	0.220620	10.000000	10.411964	10.502574	2999
0.250000	0.182513	0.420660	0.435523	0.220117	10.000000	10.395625	10.502750	2999
0.250000	0.248890	0.359837	0.441200	0.216867	10.000000	10.297395	10.502787	2999
0.250000	0.170370	0.434417	0.435520	0.221263	10.000000	10.414008	10.502478	2999
0.250000	0.198500	0.407623	0.436503	0.220597	10.000000	10.373281	10.502619	2999
0.250000	0.214563	0.389897	0.436900	0.217737	10.000000	10.346516	10.502389	2999
0.250000	0.215977	0.389720	0.435607	0.221200	10.000000	10.343660	10.502575	2999
0.250000	0.183120	0.420393	0.433853	0.221907	10.000000	10.394187	10.502522	2999
0.250000	0.178903	0.426257	0.435407	0.222163	10.000000	10.401845	10.502907	2999
0.250000	0.173960	0.429253	0.434770	0.220893	10.000000	10.408638	10.503002	2999
0.250000	0.180880	0.422443	0.434483	0.221267	10.000000	10.397843	10.502483	2999
0.250000	0.223257	0.382650	0.435843	0.220567	10.000000	10.333226	10.503159	2999
0.250000	0.193160	0.411327	0.434477	0.221273	10.000000	10.377611	10.501976	2999
0.250000	0.193350	0.408423	0.433453	0.221353	10.000000	10.377011	10.502574	2999
0.250000	0.198143	0.406353	0.434817	0.221610	10.000000	10.370118	10.502509	2999
0.250000	0.181550	0.422427	0.434640	0.221777	10.000000	10.396204	10.502437	2999
0.250000	0.178043	0.426397	0.436123	0.220903	10.000000	10.402426	10.502752	2999
0.250000	0.160663	0.448430	0.439330	0.222133	10.000000	10.433692	10.502497	2999
0.250000	0.178323	0.427820	0.435323	0.222293	10.000000	10.401528	10.502524	2999
0.250000	0.225627	0.378000	0.436530	0.217593	10.000000	10.328660	10.502434	2999
0.250000	0.212263	0.391613	0.435783	0.219557	10.000000	10.347154	10.502121	2999
0.250000	0.180833	0.422717	0.434840	0.220883	10.000000	10.397420	10.502597	2999
0.250000	0.194830	0.410247	0.435310	0.221367	10.000000	10.377208	10.503147	2999
0.250000	0.176353	0.428193	0.435070	0.221347	10.000000	10.405228	10.502799	2999
0.250000	0.197223	0.407480	0.434757	0.221857	10.000000	10.371968	10.502679	2999
0.250000	0.184163	0.421273	0.435370	0.221560	10.000000	10.391601	10.502508	2999
0.250000	0.222673	0.382613	0.436137	0.219237	10.000000	10.333534	10.502633	2999
0.250000	0.199900	0.404060	0.434517	0.220763	10.000000	10.367839	10.502718	2999
0.250000	0.187417	0.416143	0.434310	0.220490	10.000000	10.386599	10.502322	2999
0.250000	0.156110	0.452927	0.439050	0.223230	10.000000	10.439899	10.502576	2999
0.250000	0.176033	0.428860	0.434937	0.222730	10.000000	10.404562	10.502099	2999
0.250000	0.233877	0.372160	0.437833	0.218157	10.000000	10.318008	10.502331	2999
0.250000	0.214127	0.394110	0.440240	0.218623	10.000000	10.351845	10.502818	2999
0.250000	0.196930	0.407107	0.434280	0.221193	10.000000	10.372569	10.502578	2999
0.250000	0.197713	0.404977	0.434133	0.220723	10.000000	10.369406	10.502414	2999
