mut_par_patt	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.085333	0.690377	10.000000	10.261793	9.565012	2999
0.250000	0.005103	0.708903	10.000000	11.072051	9.365008	2999
0.250000	0.121063	0.653340	10.000000	10.174594	9.703055	2999
0.250000	0.114833	0.663637	10.000000	10.184798	9.646273	2999
0.250000	0.129147	0.643040	10.000000	10.161466	9.720712	2999
0.250000	0.123477	0.653667	10.000000	10.166188	9.656572	2999
0.250000	0.094497	0.681827	10.000000	10.239409	9.560534	2999
0.250000	0.128480	0.650823	10.000000	10.161060	9.658596	2999
0.250000	0.110087	0.665113	10.000000	10.199071	9.681068	2999
0.250000	0.111503	0.666163	10.000000	10.192900	9.630486	2999
0.250000	0.117743	0.660317	10.000000	10.181500	9.649441	2999
0.250000	0.126220	0.638800	10.000000	10.173853	9.773270	2999
0.250000	0.098760	0.677153	10.000000	10.225269	9.598279	2999
0.250000	0.135950	0.637763	10.000000	10.144982	9.706850	2999
0.250000	0.097650	0.679580	10.000000	10.227812	9.652993	2999
0.250000	0.122877	0.645050	10.000000	10.180664	9.766321	2999
0.250000	0.131763	0.625037	10.000000	10.173048	9.826990	2999
0.250000	0.130830	0.639897	10.000000	10.159820	9.736141	2999
0.250000	0.085490	0.693693	10.000000	10.259250	9.622956	2999
0.250000	0.043957	0.716737	10.000000	10.451211	9.472669	2999
0.250000	0.024350	0.731387	10.000000	10.597654	9.453825	2999
0.250000	0.128100	0.642257	10.000000	10.164641	9.734306	2999
0.250000	0.100293	0.675183	10.000000	10.221850	9.548519	2999
0.250000	0.082440	0.692113	10.000000	10.277389	9.546779	2999
0.250000	0.103623	0.674183	10.000000	10.212394	9.596768	2999
0.250000	0.125477	0.651800	10.000000	10.161734	9.665400	2999
0.250000	0.164440	0.611520	10.000000	10.093709	9.693790	2999
0.250000	0.179843	0.553263	10.000000	10.115613	9.927577	2999
0.250000	0.107433	0.669350	10.000000	10.204264	9.668633	2999
0.250000	0.155263	0.590097	10.000000	10.142488	9.877246	2999
0.250000	0.100937	0.676003	10.000000	10.222835	9.556595	2999
0.250000	0.075467	0.699153	10.000000	10.324151	9.529646	2999
0.250000	0.114780	0.662683	10.000000	10.185522	9.618004	2999
0.250000	0.120247	0.657287	10.000000	10.174158	9.640133	2999
0.250000	0.078540	0.699330	10.000000	10.283622	9.584222	2999
0.250000	0.137450	0.631737	10.000000	10.146931	9.741962	2999
0.250000	0.083517	0.692790	10.000000	10.268661	9.564865	2999
0.250000	0.129657	0.644910	10.000000	10.157787	9.692538	2999
0.250000	0.186047	0.563217	10.000000	10.090400	9.867065	2999
0.250000	0.101943	0.675533	10.000000	10.217585	9.606764	2999
0.250000	0.027003	0.731170	10.000000	10.571532	9.462708	2999
0.250000	0.126017	0.647100	10.000000	10.165653	9.708693	2999
0.250000	0.123553	0.653567	10.000000	10.166607	9.657241	2999
0.250000	0.097883	0.679150	10.000000	10.227153	9.675311	2999
0.250000	0.093733	0.684147	10.000000	10.237489	9.665140	2999
0.250000	0.093310	0.685683	10.000000	10.250739	9.577715	2999
0.250000	0.111557	0.664947	10.000000	10.194144	9.657640	2999
