"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.25979","0.62664","0.25365","0.63157","0.03549","0.03427"
"2","0.19376","0.41077","0.19159","0.41298","0.06239","0.08973"
"3","0.11228","0.21633","0.11150","0.21760","0.08702","0.12331"
"4","0.05523","0.09441","0.05459","0.09543","0.06270","0.08921"
"5","0.02687","0.03402","0.02657","0.03413","0.03662","0.03291"
