"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.5162","0.3845","0.5166","0.3831","0.1955","0.0106"
"2","0.4355","0.2207","0.4354","0.2209","0.2425","0.0316"
"3","0.3290","0.0929","0.3294","0.0930","0.2739","0.0481"
"4","0.2403","0.0322","0.2405","0.0324","0.2424","0.0315"
"5","0.1893","0.0100","0.1892","0.0100","0.1956","0.0102"
