mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.249660	0.635297	0.516080	0.383127	10.000000	10.295644	10.002838	2999
0.250000	0.224820	0.654417	0.520833	0.375043	10.000000	10.332415	10.002832	2999
0.250000	0.274440	0.615990	0.515583	0.387163	10.000000	10.264168	10.003175	2999
0.250000	0.229693	0.650077	0.516753	0.378023	10.000000	10.323129	10.003037	2999
0.250000	0.230170	0.649417	0.516690	0.377550	10.000000	10.321600	10.002712	2999
0.250000	0.277920	0.613170	0.516010	0.387970	10.000000	10.259196	10.003344	2999
0.250000	0.265243	0.622713	0.515520	0.387380	10.000000	10.275113	10.003218	2999
0.250000	0.244890	0.638467	0.515607	0.381967	10.000000	10.301747	10.002789	2999
0.250000	0.272327	0.617623	0.515853	0.387320	10.000000	10.267125	10.003275	2999
0.250000	0.219507	0.658787	0.518090	0.376257	10.000000	10.337602	10.003228	2999
0.250000	0.293290	0.601043	0.518237	0.387447	10.000000	10.240723	10.003251	2999
0.250000	0.208607	0.667563	0.519420	0.372643	10.000000	10.353426	10.002915	2999
0.250000	0.302530	0.592643	0.517947	0.390327	10.000000	10.228186	10.003230	2999
0.250000	0.266573	0.622537	0.515690	0.386787	10.000000	10.274880	10.003383	2999
0.250000	0.275783	0.614753	0.515730	0.388110	10.000000	10.262509	10.003464	2999
0.250000	0.263583	0.621493	0.515013	0.384137	10.000000	10.277038	10.002665	2999
0.250000	0.231877	0.648740	0.516427	0.379880	10.000000	10.319478	10.002683	2999
0.250000	0.270423	0.617350	0.515373	0.386480	10.000000	10.269061	10.002766	2999
0.250000	0.241330	0.641643	0.515583	0.381053	10.000000	10.308418	10.003273	2999
0.250000	0.265213	0.620650	0.517173	0.382133	10.000000	10.275641	10.002720	2999
0.250000	0.213603	0.665550	0.519983	0.374717	10.000000	10.346528	10.002707	2999
0.250000	0.260033	0.626853	0.515680	0.386033	10.000000	10.283131	10.002982	2999
0.250000	0.246067	0.639237	0.515690	0.384923	10.000000	10.301745	10.003618	2999
0.250000	0.258697	0.626063	0.515203	0.383280	10.000000	10.284098	10.003188	2999
0.250000	0.255363	0.630703	0.515673	0.385570	10.000000	10.288104	10.003042	2999
0.250000	0.254470	0.630670	0.515250	0.384767	10.000000	10.289027	10.002931	2999
0.250000	0.248523	0.635063	0.515413	0.382680	10.000000	10.297564	10.003114	2999
0.250000	0.243190	0.639487	0.516223	0.381090	10.000000	10.304914	10.003175	2999
0.250000	0.273083	0.616610	0.516270	0.387727	10.000000	10.264971	10.002890	2999
0.250000	0.279310	0.610927	0.515533	0.387747	10.000000	10.257842	10.003156	2999
0.250000	0.246953	0.635243	0.515973	0.381400	10.000000	10.300228	10.003003	2999
0.250000	0.239987	0.640773	0.514587	0.381573	10.000000	10.308726	10.003150	2999
0.250000	0.264660	0.621707	0.515217	0.385390	10.000000	10.276051	10.003007	2999
0.250000	0.265070	0.621597	0.515017	0.386043	10.000000	10.274298	10.002904	2999
0.250000	0.222667	0.657773	0.518390	0.377590	10.000000	10.334702	10.003667	2999
0.250000	0.283597	0.606853	0.516143	0.388007	10.000000	10.251490	10.002964	2999
0.250000	0.256630	0.628463	0.515553	0.384210	10.000000	10.286428	10.002851	2999
0.250000	0.255110	0.630050	0.514397	0.385230	10.000000	10.288451	10.003408	2999
0.250000	0.258573	0.627643	0.516020	0.384420	10.000000	10.284489	10.002936	2999
0.250000	0.249140	0.636373	0.514930	0.383677	10.000000	10.296078	10.002541	2999
0.250000	0.241330	0.641227	0.515707	0.381113	10.000000	10.307089	10.003315	2999
0.250000	0.239407	0.640907	0.516333	0.379863	10.000000	10.308939	10.002821	2999
