mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.163390	0.751113	0.439947	0.486680	10.000000	10.413372	10.002946	2999
0.250000	0.124947	0.786260	0.438400	0.486887	10.000000	10.482147	10.003235	2999
0.250000	0.130400	0.781217	0.439137	0.483427	10.000000	10.474713	10.003122	2999
0.250000	0.135130	0.777750	0.437993	0.487343	10.000000	10.461889	10.002388	2999
0.250000	0.138140	0.775427	0.438420	0.486060	10.000000	10.458586	10.002966	2999
0.250000	0.133560	0.779130	0.439243	0.486067	10.000000	10.467156	10.002808	2999
0.250000	0.150230	0.764003	0.438930	0.485073	10.000000	10.436647	10.003721	2999
0.250000	0.130163	0.781620	0.439013	0.483767	10.000000	10.472485	10.002830	2999
0.250000	0.142853	0.770767	0.438720	0.487453	10.000000	10.448643	10.003325	2999
0.250000	0.126190	0.785330	0.438407	0.484723	10.000000	10.480223	10.003461	2999
0.250000	0.126397	0.786133	0.439647	0.484920	10.000000	10.479299	10.003157	2999
0.250000	0.090483	0.823450	0.441517	0.482810	10.000000	10.562035	10.003198	2999
0.250000	0.116613	0.795653	0.439470	0.485180	10.000000	10.501530	10.003008	2999
0.250000	0.128930	0.782550	0.437747	0.485747	10.000000	10.477799	10.002813	2999
0.250000	0.126603	0.784973	0.437927	0.485070	10.000000	10.479682	10.002451	2999
0.250000	0.123473	0.788417	0.438423	0.485163	10.000000	10.485759	10.002919	2999
0.250000	0.145880	0.768233	0.439397	0.486550	10.000000	10.445147	10.003433	2999
0.250000	0.121620	0.793343	0.439427	0.487453	10.000000	10.490337	10.003019	2999
0.250000	0.146170	0.767847	0.437437	0.486170	10.000000	10.442835	10.003345	2999
0.250000	0.158400	0.756577	0.438707	0.486623	10.000000	10.419456	10.002987	2999
0.250000	0.142513	0.769347	0.437980	0.484613	10.000000	10.450248	10.002634	2999
0.250000	0.121163	0.789867	0.439443	0.485217	10.000000	10.490333	10.003011	2999
0.250000	0.132837	0.779467	0.438030	0.487030	10.000000	10.468642	10.002687	2999
0.250000	0.113157	0.798707	0.439403	0.481760	10.000000	10.513109	10.003050	2999
0.250000	0.156447	0.757830	0.438423	0.486090	10.000000	10.425032	10.003191	2999
0.250000	0.152467	0.760763	0.438213	0.487120	10.000000	10.432432	10.002832	2999
0.250000	0.121473	0.790113	0.438610	0.483947	10.000000	10.489833	10.002600	2999
0.250000	0.128363	0.783833	0.438847	0.485623	10.000000	10.477479	10.002949	2999
0.250000	0.130883	0.781580	0.438533	0.485877	10.000000	10.474358	10.003388	2999
0.250000	0.122427	0.790363	0.438920	0.485160	10.000000	10.486690	10.002729	2999
0.250000	0.150770	0.763200	0.438800	0.486393	10.000000	10.436062	10.002909	2999
0.250000	0.117810	0.795047	0.438430	0.485340	10.000000	10.498670	10.003181	2999
0.250000	0.108557	0.804560	0.439653	0.484510	10.000000	10.519303	10.003505	2999
0.250000	0.162430	0.751510	0.439130	0.485650	10.000000	10.413548	10.002788	2999
0.250000	0.126113	0.785570	0.438420	0.485403	10.000000	10.479721	10.002948	2999
0.250000	0.107997	0.805403	0.441467	0.485657	10.000000	10.521478	10.002667	2999
0.250000	0.167280	0.748100	0.439547	0.486787	10.000000	10.404100	10.003015	2999
0.250000	0.132650	0.779417	0.437763	0.486863	10.000000	10.467151	10.003452	2999
0.250000	0.105200	0.806513	0.441023	0.483853	10.000000	10.526142	10.003168	2999
0.250000	0.108363	0.804530	0.440737	0.484597	10.000000	10.520693	10.003393	2999
0.250000	0.131607	0.778663	0.438783	0.484530	10.000000	10.471358	10.002815	2999
0.250000	0.143713	0.769063	0.438193	0.486823	10.000000	10.447895	10.003300	2999
0.250000	0.128277	0.783927	0.439310	0.484227	10.000000	10.479323	10.003016	2999
0.250000	0.105097	0.805347	0.439907	0.482780	10.000000	10.524169	10.002627	2999
0.250000	0.156147	0.760203	0.440473	0.487343	10.000000	10.426141	10.002969	2999
0.250000	0.146340	0.766283	0.437747	0.485273	10.000000	10.442614	10.002471	2999
0.250000	0.136127	0.776647	0.438830	0.487447	10.000000	10.461910	10.002536	2999
0.250000	0.120677	0.792200	0.438200	0.485487	10.000000	10.491882	10.003329	2999
0.250000	0.131460	0.781790	0.438657	0.486210	10.000000	10.471722	10.002848	2999
0.250000	0.123933	0.787453	0.437760	0.484697	10.000000	10.485546	10.002927	2999
0.250000	0.129137	0.781783	0.438467	0.484667	10.000000	10.473462	10.002804	2999
0.250000	0.126397	0.786543	0.438603	0.486493	10.000000	10.480938	10.003254	2999
0.250000	0.165600	0.747967	0.438320	0.487050	10.000000	10.411111	10.003204	2999
0.250000	0.144517	0.769413	0.438490	0.487300	10.000000	10.445404	10.003419	2999
0.250000	0.136330	0.775207	0.437427	0.485800	10.000000	10.461989	10.002679	2999
0.250000	0.113980	0.799593	0.440423	0.485170	10.000000	10.508193	10.003650	2999
0.250000	0.144490	0.769560	0.439167	0.486403	10.000000	10.450800	10.003143	2999
0.250000	0.145397	0.768480	0.440040	0.485883	10.000000	10.446256	10.002666	2999
0.250000	0.159970	0.753947	0.438573	0.486370	10.000000	10.418218	10.003345	2999
0.250000	0.134223	0.779090	0.437683	0.486497	10.000000	10.465745	10.003327	2999
0.250000	0.107720	0.804073	0.439357	0.485257	10.000000	10.519772	10.002784	2999
0.250000	0.116033	0.796367	0.439057	0.484470	10.000000	10.502818	10.003195	2999
0.250000	0.118597	0.792720	0.438973	0.485293	10.000000	10.496168	10.002903	2999
0.250000	0.116730	0.796193	0.438927	0.485710	10.000000	10.501548	10.002960	2999
0.250000	0.141420	0.771290	0.438877	0.486667	10.000000	10.451539	10.002774	2999
0.250000	0.120270	0.791183	0.439437	0.485890	10.000000	10.492700	10.002796	2999
0.250000	0.120613	0.790910	0.439460	0.486243	10.000000	10.491891	10.002727	2999
0.250000	0.157260	0.755787	0.439103	0.486053	10.000000	10.421837	10.002618	2999
0.250000	0.139487	0.773110	0.438887	0.486517	10.000000	10.454564	10.003311	2999
0.250000	0.150703	0.763070	0.438600	0.487363	10.000000	10.433291	10.002901	2999
0.250000	0.119620	0.794153	0.440243	0.486210	10.000000	10.496941	10.003051	2999
0.250000	0.118350	0.794063	0.440140	0.486640	10.000000	10.505025	10.003034	2999
0.250000	0.157560	0.755983	0.438447	0.486287	10.000000	10.422474	10.002825	2999
0.250000	0.123247	0.789170	0.438583	0.484553	10.000000	10.488585	10.003285	2999
0.250000	0.140787	0.771103	0.438223	0.485873	10.000000	10.451641	10.003081	2999
0.250000	0.114480	0.796203	0.439130	0.484500	10.000000	10.505137	10.002936	2999
0.250000	0.139303	0.773593	0.438280	0.486273	10.000000	10.456315	10.003351	2999
0.250000	0.158663	0.755747	0.439607	0.486503	10.000000	10.420828	10.003140	2999
0.250000	0.140310	0.773783	0.438347	0.486800	10.000000	10.453529	10.002943	2999
0.250000	0.122153	0.790313	0.439657	0.485573	10.000000	10.493666	10.003132	2999
0.250000	0.141400	0.769203	0.437997	0.484307	10.000000	10.451231	10.002975	2999
0.250000	0.131123	0.780713	0.438903	0.485707	10.000000	10.470499	10.003327	2999
0.250000	0.126067	0.788117	0.438603	0.487077	10.000000	10.481113	10.003103	2999
0.250000	0.148500	0.765557	0.438943	0.486503	10.000000	10.437485	10.002773	2999
0.250000	0.157730	0.756993	0.439393	0.487343	10.000000	10.424849	10.002978	2999
0.250000	0.113190	0.799853	0.439860	0.484197	10.000000	10.507678	10.002920	2999
0.250000	0.147867	0.766013	0.439140	0.486083	10.000000	10.438956	10.003105	2999
0.250000	0.153087	0.760183	0.437833	0.486753	10.000000	10.429346	10.002595	2999
0.250000	0.123977	0.788020	0.437680	0.485777	10.000000	10.485796	10.002809	2999
0.250000	0.137663	0.774137	0.437890	0.486450	10.000000	10.456820	10.002578	2999
0.250000	0.123143	0.788013	0.438653	0.485240	10.000000	10.486583	10.003215	2999
0.250000	0.141090	0.772373	0.438740	0.485770	10.000000	10.451953	10.002875	2999
0.250000	0.120073	0.792143	0.439313	0.485543	10.000000	10.495911	10.003023	2999
0.250000	0.135690	0.775410	0.438470	0.486737	10.000000	10.459836	10.002844	2999
0.250000	0.144137	0.768293	0.437687	0.486143	10.000000	10.446849	10.003239	2999
0.250000	0.154627	0.759777	0.439400	0.486137	10.000000	10.426393	10.002975	2999
0.250000	0.131787	0.781543	0.439070	0.485487	10.000000	10.470672	10.002852	2999
0.250000	0.160480	0.753123	0.439970	0.484660	10.000000	10.416704	10.002867	2999
0.250000	0.132867	0.779883	0.437843	0.486520	10.000000	10.470108	10.002967	2999
0.250000	0.118563	0.793210	0.438790	0.484760	10.000000	10.499647	10.003258	2999
0.250000	0.078907	0.558623	0.367407	0.321820	10.000000	10.593723	10.502875	2999
0.250000	0.095637	0.528740	0.365007	0.312310	10.000000	10.548738	10.503134	2999
0.250000	0.122553	0.488767	0.364443	0.299627	10.000000	10.487631	10.502752	2999
0.250000	0.104977	0.514693	0.364067	0.308753	10.000000	10.525038	10.502709	2999
0.250000	0.112807	0.504307	0.364457	0.305647	10.000000	10.507648	10.502429	2999
0.250000	0.106697	0.512233	0.364667	0.307737	10.000000	10.521614	10.502558	2999
0.250000	0.091810	0.535720	0.364633	0.315157	10.000000	10.557725	10.502689	2999
0.250000	0.102790	0.517890	0.362770	0.309867	10.000000	10.529889	10.502519	2999
0.250000	0.117937	0.497227	0.363800	0.303583	10.000000	10.497264	10.502386	2999
0.250000	0.073687	0.569810	0.367613	0.324707	10.000000	10.607573	10.502741	2999
0.250000	0.123617	0.487717	0.364797	0.301210	10.000000	10.485463	10.502507	2999
0.250000	0.087110	0.544453	0.366087	0.318117	10.000000	10.571463	10.502770	2999
0.250000	0.096407	0.528617	0.365073	0.313403	10.000000	10.544656	10.502724	2999
0.250000	0.114303	0.500827	0.364127	0.305010	10.000000	10.504975	10.502512	2999
0.250000	0.091213	0.537827	0.364900	0.316650	10.000000	10.558389	10.502562	2999
0.250000	0.107847	0.508690	0.364180	0.305850	10.000000	10.518883	10.502529	2999
0.250000	0.117013	0.495830	0.363113	0.302507	10.000000	10.497281	10.502585	2999
0.250000	0.082033	0.552870	0.365990	0.320020	10.000000	10.582553	10.502495	2999
0.250000	0.125047	0.486410	0.364530	0.299697	10.000000	10.482749	10.502848	2999
0.250000	0.117983	0.495307	0.364837	0.301737	10.000000	10.497059	10.502771	2999
0.250000	0.089157	0.539847	0.365070	0.316003	10.000000	10.564289	10.502697	2999
0.250000	0.084933	0.546683	0.365310	0.318033	10.000000	10.574087	10.502386	2999
0.250000	0.103730	0.517413	0.364537	0.309907	10.000000	10.528974	10.502736	2999
0.250000	0.124167	0.488933	0.364253	0.301240	10.000000	10.486161	10.503013	2999
0.250000	0.112543	0.504370	0.364593	0.305853	10.000000	10.508324	10.502194	2999
0.250000	0.103103	0.521363	0.365863	0.310487	10.000000	10.533584	10.502796	2999
0.250000	0.088153	0.541883	0.365573	0.316347	10.000000	10.567118	10.502192	2999
0.250000	0.101683	0.518370	0.364487	0.309947	10.000000	10.531747	10.502696	2999
0.250000	0.066910	0.583417	0.371767	0.330467	10.000000	10.630090	10.502197	2999
0.250000	0.137240	0.469163	0.366730	0.294090	10.000000	10.458322	10.502774	2999
0.250000	0.124163	0.488923	0.366350	0.300753	10.000000	10.484979	10.503157	2999
0.250000	0.110630	0.506067	0.364123	0.305587	10.000000	10.512924	10.502613	2999
0.250000	0.118897	0.495027	0.364680	0.302697	10.000000	10.496294	10.502941	2999
0.250000	0.107707	0.511283	0.364370	0.308447	10.000000	10.521482	10.502736	2999
0.250000	0.092297	0.534840	0.365040	0.314363	10.000000	10.555507	10.502183	2999
0.250000	0.087347	0.541417	0.365727	0.317053	10.000000	10.567865	10.502641	2999
0.250000	0.097593	0.526173	0.364180	0.312163	10.000000	10.542571	10.502295	2999
0.250000	0.107500	0.513593	0.364323	0.310357	10.000000	10.518989	10.502341	2999
0.250000	0.109250	0.509487	0.364843	0.306610	10.000000	10.516196	10.502569	2999
0.250000	0.111520	0.504900	0.364543	0.305817	10.000000	10.510891	10.502409	2999
0.250000	0.118967	0.494313	0.365467	0.302053	10.000000	10.494641	10.502746	2999
0.250000	0.094977	0.531307	0.365680	0.315167	10.000000	10.550233	10.502506	2999
0.250000	0.103317	0.517140	0.364507	0.309117	10.000000	10.529144	10.502403	2999
0.250000	0.087953	0.543897	0.366517	0.317757	10.000000	10.568405	10.503022	2999
0.250000	0.107580	0.511337	0.363947	0.308050	10.000000	10.519743	10.502911	2999
0.250000	0.109373	0.508653	0.364027	0.306800	10.000000	10.516794	10.502808	2999
0.250000	0.110357	0.505313	0.362810	0.305267	10.000000	10.511934	10.502430	2999
0.250000	0.102113	0.518040	0.364067	0.309360	10.000000	10.531403	10.502417	2999
0.250000	0.115347	0.500077	0.364533	0.304347	10.000000	10.503222	10.502811	2999
0.250000	0.107503	0.512277	0.364883	0.308753	10.000000	10.520678	10.502604	2999
0.250000	0.108887	0.509090	0.364483	0.307267	10.000000	10.517138	10.502615	2999
0.250000	0.083123	0.550260	0.366290	0.319583	10.000000	10.579611	10.502775	2999
0.250000	0.104683	0.515687	0.363933	0.309360	10.000000	10.525077	10.502325	2999
0.250000	0.129023	0.479433	0.364793	0.296990	10.000000	10.474186	10.502859	2999
0.250000	0.123273	0.488293	0.365447	0.300633	10.000000	10.485730	10.502769	2999
0.250000	0.107317	0.509810	0.363553	0.306517	10.000000	10.520502	10.502876	2999
0.250000	0.091033	0.536457	0.365340	0.314780	10.000000	10.558805	10.502861	2999
0.250000	0.087767	0.543520	0.365953	0.317540	10.000000	10.567056	10.502986	2999
0.250000	0.103800	0.516613	0.364063	0.309037	10.000000	10.529095	10.502645	2999
0.250000	0.096773	0.526693	0.364883	0.312567	10.000000	10.545785	10.502730	2999
0.250000	0.099967	0.522260	0.364393	0.311060	10.000000	10.536592	10.502513	2999
0.250000	0.101097	0.519420	0.364653	0.309290	10.000000	10.536198	10.502708	2999
0.250000	0.101703	0.520910	0.365137	0.311453	10.000000	10.534026	10.502660	2999
0.250000	0.090080	0.538170	0.365310	0.315683	10.000000	10.561684	10.502646	2999
