"","size","size_thr","par_size","patt","patt_thr","par_patt"
"1","10.0000","12.7024","10.0000","10.0000","11.1125","12.0000"
"2","10.0000","12.1996","10.5000","10.0000","10.9937","11.5000"
"3","10.0000","11.0626","11.0000","10.0000","11.0655","11.0000"
"4","10.0000","10.9923","11.5001","10.0000","12.1775","10.5000"
"5","10.0000","11.1182","11.9999","10.0000","12.6676","10.0000"
