mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.011267	0.946880	0.251077	0.713107	10.000000	11.861981	10.045320	2999
0.250000	0.011133	0.930180	0.249497	0.700447	10.000000	11.835127	9.943755	2999
0.250000	0.022043	0.869947	0.249767	0.658013	10.000000	11.019793	10.207356	2999
0.250000	0.012640	0.934943	0.249573	0.704243	10.000000	11.312274	10.112457	2999
0.250000	0.013747	0.914173	0.249487	0.687710	10.000000	11.196568	10.224397	2999
0.250000	0.010970	0.924037	0.247967	0.696103	10.000000	12.223806	9.903494	2999
0.250000	0.012207	0.935320	0.251620	0.705517	10.000000	11.482126	10.063549	2999
0.250000	0.011233	0.911113	0.247083	0.685643	10.000000	11.427234	9.861985	2999
0.250000	0.011403	0.949473	0.251430	0.714750	10.000000	12.312748	10.139457	2999
0.250000	0.014883	0.909493	0.248880	0.686533	10.000000	11.151118	10.217689	2999
0.250000	0.014253	0.919947	0.250653	0.694783	10.000000	11.177465	10.145351	2999
0.250000	0.013337	0.926347	0.249923	0.698743	10.000000	11.260874	10.131309	2999
0.250000	0.013523	0.921820	0.250127	0.693233	10.000000	11.191519	10.189529	2999
0.250000	0.015123	0.877870	0.246860	0.661983	10.000000	11.125659	10.365177	2999
0.250000	0.015017	0.912817	0.250227	0.689817	10.000000	11.197084	10.181318	2999
0.250000	0.011167	0.938390	0.250030	0.707513	10.000000	12.172375	9.979240	2999
0.250000	0.017107	0.898930	0.250157	0.678867	10.000000	11.511684	10.207774	2999
0.250000	0.016010	0.899540	0.249273	0.679283	10.000000	11.093561	10.208713	2999
0.250000	0.022913	0.776977	0.241137	0.588413	10.000000	10.974484	10.472089	2999
0.250000	0.014713	0.918437	0.250393	0.693343	10.000000	11.184628	10.153662	2999
0.250000	0.013887	0.911430	0.248333	0.687323	10.000000	11.273971	10.303845	2999
0.250000	0.016437	0.902837	0.250323	0.682503	10.000000	11.182254	10.258415	2999
0.250000	0.012547	0.915117	0.248857	0.689730	10.000000	11.279783	9.912267	2999
0.250000	0.011897	0.939217	0.251130	0.706770	10.000000	11.511253	10.080335	2999
0.250000	0.020480	0.885790	0.251120	0.668500	10.000000	11.029379	10.160484	2999
0.250000	0.018210	0.900463	0.250843	0.679427	10.000000	11.084243	10.125112	2999
0.250000	0.010323	0.945040	0.250213	0.711343	10.000000	12.207615	9.996471	2999
0.250000	0.013610	0.917770	0.250897	0.691067	10.000000	11.201423	10.219043	2999
