"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.4391","0.4857","0.4389","0.4857","0.1740","0.0221"
"2","0.3648","0.3092","0.3649","0.3096","0.2098","0.0602"
"3","0.2790","0.1541","0.2791","0.1541","0.2345","0.0874"
"4","0.2112","0.0624","0.2113","0.0638","0.2097","0.0604"
"5","0.1735","0.0217","0.1736","0.0219","0.1740","0.0224"
