"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.13093","0.78192","0.13358","0.77920","0.01221","0.04334"
"2","0.10489","0.51615","0.10385","0.51771","0.03009","0.11405"
"3","0.06330","0.27459","0.06336","0.27477","0.04567","0.16061"
"4","0.03072","0.11786","0.02939","0.12059","0.02985","0.11418"
"5","0.01197","0.04251","0.01186","0.04283","0.01187","0.04389"
