"","size","size_thr","par_size","patt","patt_thr","par_patt"
"1","NA","NA","NA","10.0000","10.4681","10.0030"
"2","NA","NA","NA","10.0000","10.5300","10.5026"
"3","NA","NA","NA","10.0000","10.6424","11.0027"
"4","NA","NA","NA","10.0000","10.7966","11.5026"
"5","NA","NA","NA","10.0000","10.9622","12.0026"
