mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.295850	0.653993	0.529433	0.425473	10.000000	10.237216	9.847034	2999
0.250000	0.244203	0.711697	0.536010	0.425283	10.000000	10.304479	9.666160	2999
0.250000	0.227793	0.706410	0.533467	0.409460	10.000000	10.327251	9.537687	2999
0.250000	0.255950	0.702307	0.534257	0.429497	10.000000	10.287973	9.580949	2999
0.250000	0.268553	0.694543	0.533610	0.433383	10.000000	10.271228	9.727632	2999
0.250000	0.277867	0.692103	0.534940	0.439730	10.000000	10.259326	9.690660	2999
0.250000	0.257270	0.704170	0.535227	0.430310	10.000000	10.286763	9.651046	2999
0.250000	0.204410	0.712760	0.534170	0.392830	10.000000	10.360317	9.529690	2999
0.250000	0.281233	0.667753	0.529593	0.426167	10.000000	10.253841	9.835319	2999
0.250000	0.250853	0.590890	0.505237	0.357297	10.000000	10.295785	10.096832	2999
0.250000	0.283530	0.669667	0.530530	0.428160	10.000000	10.252784	9.822878	2999
0.250000	0.263840	0.652247	0.523077	0.403207	10.000000	10.277750	9.927908	2999
0.250000	0.216583	0.686867	0.526710	0.389063	10.000000	10.343773	9.443844	2999
0.250000	0.269623	0.678997	0.529587	0.425170	10.000000	10.269948	9.822174	2999
0.250000	0.245777	0.702007	0.533167	0.420057	10.000000	10.300898	9.772967	2999
0.250000	0.269817	0.685257	0.532363	0.427993	10.000000	10.269780	9.521902	2999
0.250000	0.244553	0.685740	0.528747	0.411010	10.000000	10.303138	9.479663	2999
0.250000	0.289017	0.677820	0.533770	0.436527	10.000000	10.245029	9.766060	2999
0.250000	0.282177	0.636390	0.522330	0.406960	10.000000	10.253892	9.936539	2999
0.250000	0.273700	0.679373	0.531547	0.427430	10.000000	10.264430	9.798633	2999
0.250000	0.260533	0.693963	0.532893	0.428080	10.000000	10.282625	9.546640	2999
0.250000	0.286620	0.673847	0.532510	0.432833	10.000000	10.248122	9.788117	2999
0.250000	0.297980	0.654197	0.529413	0.427357	10.000000	10.233109	9.840660	2999
0.250000	0.257120	0.681877	0.530143	0.415653	10.000000	10.284929	9.840949	2999
0.250000	0.243903	0.710837	0.535990	0.424903	10.000000	10.305349	9.702266	2999
0.250000	0.223797	0.716033	0.535683	0.411560	10.000000	10.332455	9.587768	2999
0.250000	0.253480	0.707247	0.535527	0.430653	10.000000	10.290828	9.644300	2999
0.250000	0.270957	0.695370	0.534693	0.437040	10.000000	10.267745	9.681360	2999
0.250000	0.255790	0.702973	0.535067	0.428917	10.000000	10.288853	9.708019	2999
0.250000	0.258100	0.704717	0.535280	0.431627	10.000000	10.285042	9.641635	2999
0.250000	0.241027	0.712030	0.534947	0.424777	10.000000	10.307467	9.682829	2999
0.250000	0.278153	0.649093	0.524407	0.411660	10.000000	10.258938	9.904768	2999
0.250000	0.283440	0.691367	0.535553	0.442080	10.000000	10.252587	9.641827	2999
0.250000	0.275753	0.675923	0.530377	0.426590	10.000000	10.262217	9.812301	2999
0.250000	0.245880	0.696870	0.531427	0.418410	10.000000	10.302208	9.522907	2999
0.250000	0.282963	0.684977	0.535560	0.437023	10.000000	10.252603	9.740900	2999
0.250000	0.247743	0.640617	0.516217	0.384800	10.000000	10.297793	9.990761	2999
0.250000	0.233727	0.711290	0.536623	0.415920	10.000000	10.319290	9.581600	2999
0.250000	0.253827	0.699453	0.534470	0.425863	10.000000	10.291107	9.780213	2999
0.250000	0.237263	0.714487	0.536777	0.422680	10.000000	10.313987	9.649742	2999
0.250000	0.294530	0.620693	0.522147	0.403380	10.000000	10.239647	9.953209	2999
0.250000	0.266747	0.687747	0.532470	0.426673	10.000000	10.272786	9.773732	2999
0.250000	0.235973	0.709903	0.534397	0.417317	10.000000	10.315396	9.567053	2999
0.250000	0.263190	0.672973	0.527600	0.415873	10.000000	10.278304	9.861545	2999
0.250000	0.220947	0.659567	0.518827	0.376767	10.000000	10.337195	9.366535	2999
0.250000	0.260250	0.696797	0.533203	0.428640	10.000000	10.283081	9.751846	2999
0.250000	0.283753	0.676217	0.532213	0.432790	10.000000	10.251663	9.783562	2999
0.250000	0.213423	0.694407	0.528263	0.390167	10.000000	10.347120	9.466807	2999
0.250000	0.264123	0.700500	0.535230	0.434353	10.000000	10.277494	9.687202	2999
0.250000	0.264707	0.699087	0.534910	0.433110	10.000000	10.275955	9.602351	2999
0.250000	0.260027	0.702690	0.534937	0.431560	10.000000	10.282580	9.631705	2999
0.250000	0.241233	0.705563	0.533927	0.419067	10.000000	10.306535	9.780683	2999
0.250000	0.278403	0.671853	0.530270	0.425837	10.000000	10.258282	9.828567	2999
0.250000	0.223777	0.696760	0.530310	0.400147	10.000000	10.332314	9.489652	2999
0.250000	0.234480	0.690913	0.529133	0.406657	10.000000	10.318443	9.483875	2999
0.250000	0.254837	0.701043	0.533503	0.426957	10.000000	10.288561	9.731378	2999
0.250000	0.245290	0.707227	0.534833	0.423303	10.000000	10.301700	9.723091	2999
0.250000	0.265153	0.696090	0.534100	0.432533	10.000000	10.275387	9.725184	2999
0.250000	0.260240	0.692490	0.532187	0.426130	10.000000	10.281049	9.777189	2999
0.250000	0.284737	0.688613	0.535327	0.441293	10.000000	10.251683	9.642491	2999
0.250000	0.258333	0.702803	0.534933	0.432217	10.000000	10.285520	9.602633	2999
0.250000	0.245663	0.708923	0.535043	0.426000	10.000000	10.301961	9.632880	2999
0.250000	0.169370	0.620467	0.501080	0.316487	10.000000	10.421170	9.258284	2999
0.250000	0.296537	0.661847	0.533630	0.430400	10.000000	10.236484	9.816985	2999
0.250000	0.264953	0.690483	0.532713	0.428217	10.000000	10.276200	9.776704	2999
0.250000	0.290807	0.635400	0.524700	0.410417	10.000000	10.242443	9.916916	2999
0.250000	0.263400	0.690703	0.532050	0.428050	10.000000	10.277254	9.778082	2999
0.250000	0.249467	0.708653	0.535070	0.428387	10.000000	10.296023	9.637640	2999
0.250000	0.256900	0.699970	0.534190	0.427167	10.000000	10.285385	9.590337	2999
0.250000	0.248453	0.707510	0.534597	0.427807	10.000000	10.298165	9.671970	2999
0.250000	0.250617	0.703140	0.534837	0.424747	10.000000	10.295591	9.740089	2999
0.250000	0.230167	0.709583	0.534353	0.415150	10.000000	10.323216	9.568967	2999
0.250000	0.230113	0.691103	0.528553	0.402393	10.000000	10.322777	9.881557	2999
0.250000	0.287690	0.687360	0.536140	0.441893	10.000000	10.248383	9.697403	2999
0.250000	0.237103	0.714983	0.536217	0.422703	10.000000	10.311973	9.643374	2999
0.250000	0.256780	0.704660	0.534630	0.430890	10.000000	10.286204	9.641415	2999
0.250000	0.239690	0.703560	0.533083	0.417813	10.000000	10.308082	9.552525	2999
0.250000	0.277733	0.684667	0.533590	0.433987	10.000000	10.259537	9.520466	2999
0.250000	0.236093	0.714540	0.536077	0.420477	10.000000	10.315764	9.701883	2999
0.250000	0.222493	0.720667	0.536733	0.413590	10.000000	10.334432	9.662703	2999
0.250000	0.242747	0.709937	0.535073	0.422700	10.000000	10.306259	9.727206	2999
0.250000	0.247023	0.704760	0.533577	0.424070	10.000000	10.299573	9.750675	2999
