sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.416667	0.600000	0.000000	0.177237	0.564300	10.000000	10.100372	10.003178	2999
0.416667	0.600000	0.000000	0.195433	0.546833	10.000000	10.073216	10.002817	2999
0.416667	0.600000	0.000000	0.172930	0.570467	10.000000	10.109280	10.003035	2999
0.416667	0.600000	0.000000	0.149490	0.591963	10.000000	10.142203	10.002860	2999
0.416667	0.600000	0.000000	0.142873	0.599157	10.000000	10.154989	10.003051	2999
0.416667	0.600000	0.000000	0.147917	0.594687	10.000000	10.146371	10.003006	2999
0.416667	0.600000	0.000000	0.164330	0.578130	10.000000	10.119155	10.003184	2999
0.416667	0.600000	0.000000	0.154963	0.585997	10.000000	10.133971	10.003194	2999
0.416667	0.600000	0.000000	0.205110	0.538073	10.000000	10.059897	10.002986	2999
0.416667	0.600000	0.000000	0.129320	0.616413	10.000000	10.178531	10.003232	2999
0.416667	0.600000	0.000000	0.171897	0.570407	10.000000	10.106050	10.002886	2999
0.416667	0.600000	0.000000	0.208110	0.534857	10.000000	10.056678	10.002899	2999
0.416667	0.600000	0.000000	0.184587	0.558140	10.000000	10.089660	10.003237	2999
0.416667	0.600000	0.000000	0.178083	0.563493	10.000000	10.098561	10.002634	2999
0.416667	0.600000	0.000000	0.198680	0.544523	10.000000	10.068056	10.002907	2999
0.416667	0.600000	0.000000	0.135703	0.607750	10.000000	10.166402	10.002696	2999
0.416667	0.600000	0.000000	0.160713	0.580577	10.000000	10.124918	10.002586	2999
0.416667	0.600000	0.000000	0.166847	0.573540	10.000000	10.116919	10.003469	2999
0.416667	0.600000	0.000000	0.149953	0.592570	10.000000	10.142859	10.003294	2999
0.416667	0.600000	0.000000	0.206093	0.537203	10.000000	10.058497	10.003223	2999
0.416667	0.600000	0.000000	0.187920	0.553917	10.000000	10.083254	10.002941	2999
0.416667	0.600000	0.000000	0.131693	0.612820	10.000000	10.174756	10.003183	2999
0.416667	0.600000	0.000000	0.200287	0.542307	10.000000	10.067688	10.003343	2999
0.416667	0.600000	0.000000	0.182363	0.558467	10.000000	10.092962	10.003195	2999
0.416667	0.600000	0.000000	0.149987	0.591457	10.000000	10.142843	10.002958	2999
0.416667	0.600000	0.000000	0.186343	0.554993	10.000000	10.087526	10.003239	2999
0.416667	0.600000	0.000000	0.112793	0.635223	10.000000	10.209857	10.003438	2999
0.416667	0.600000	0.000000	0.214483	0.530463	10.000000	10.047492	10.002601	2999
0.416667	0.600000	0.000000	0.126930	0.618030	10.000000	10.183756	10.002750	2999
0.416667	0.600000	0.000000	0.178550	0.563077	10.000000	10.097278	10.003202	2999
0.416667	0.600000	0.000000	0.212033	0.531653	10.000000	10.050235	10.002917	2999
0.416667	0.600000	0.000000	0.174527	0.566820	10.000000	10.104715	10.003188	2999
0.416667	0.600000	0.000000	0.208133	0.535180	10.000000	10.056487	10.003346	2999
0.416667	0.600000	0.000000	0.180730	0.559667	10.000000	10.095895	10.002861	2999
0.416667	0.600000	0.000000	0.168860	0.572877	10.000000	10.114408	10.003442	2999
0.416667	0.600000	0.000000	0.140857	0.601353	10.000000	10.157707	10.002800	2999
0.416667	0.600000	0.000000	0.156043	0.586090	10.000000	10.132908	10.003144	2999
0.416667	0.600000	0.500000	0.161667	0.355763	10.000000	10.280258	10.502629	2999
0.416667	0.600000	0.500000	0.152970	0.364510	10.000000	10.294834	10.502986	2999
0.416667	0.600000	0.500000	0.139727	0.378980	10.000000	10.317030	10.502613	2999
0.416667	0.600000	0.500000	0.132110	0.388037	10.000000	10.329238	10.502518	2999
0.416667	0.600000	0.500000	0.176697	0.342267	10.000000	10.258165	10.502185	2999
0.416667	0.600000	0.500000	0.137967	0.379207	10.000000	10.319273	10.502839	2999
0.416667	0.600000	0.500000	0.176557	0.342317	10.000000	10.258518	10.502757	2999
0.416667	0.600000	0.500000	0.133170	0.386417	10.000000	10.327523	10.502590	2999
0.416667	0.600000	0.500000	0.146227	0.370807	10.000000	10.304600	10.502284	2999
0.416667	0.600000	0.500000	0.144937	0.373480	10.000000	10.307023	10.502414	2999
0.416667	0.600000	0.500000	0.134387	0.384167	10.000000	10.325603	10.502308	2999
0.416667	0.600000	0.500000	0.154117	0.363570	10.000000	10.293171	10.502563	2999
0.416667	0.600000	0.500000	0.151310	0.366183	10.000000	10.297486	10.502764	2999
0.416667	0.600000	0.500000	0.130673	0.388903	10.000000	10.332451	10.502390	2999
0.416667	0.600000	0.500000	0.131697	0.386140	10.000000	10.329778	10.502588	2999
0.416667	0.600000	0.500000	0.182520	0.337610	10.000000	10.250089	10.502901	2999
0.416667	0.600000	0.500000	0.164407	0.353393	10.000000	10.276557	10.502341	2999
0.416667	0.600000	0.500000	0.151827	0.365613	10.000000	10.296630	10.502759	2999
0.416667	0.600000	0.500000	0.172647	0.346140	10.000000	10.264981	10.502791	2999
0.416667	0.600000	0.500000	0.141070	0.375940	10.000000	10.315543	10.503218	2999
0.416667	0.600000	0.500000	0.140120	0.378123	10.000000	10.315192	10.502506	2999
0.416667	0.600000	0.500000	0.122957	0.398060	10.000000	10.346784	10.502733	2999
0.416667	0.600000	0.500000	0.155177	0.361493	10.000000	10.290425	10.502548	2999
0.416667	0.600000	0.500000	0.140087	0.379087	10.000000	10.314295	10.502606	2999
0.416667	0.600000	0.500000	0.122050	0.397747	10.000000	10.348053	10.502488	2999
0.416667	0.600000	0.500000	0.139637	0.377413	10.000000	10.317272	10.502718	2999
