mut_par_size	mut_par_patt	typ1_err	typ2_err	            rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.026140	0.687523	0.235177	0.520523	10.000000	11.579816	9.501077	10.000000	11.121615	10.356812	2999
0.250000	0.250000	0.020290	0.585487	0.221883	0.442797	10.000000	14.547368	9.779909	10.000000	13.192529	9.267090	2999
0.250000	0.250000	0.042570	0.564053	0.234000	0.430207	10.000000	10.855773	10.719550	10.000000	11.831330	10.262270	2999
0.250000	0.250000	0.027893	0.388287	0.207983	0.295183	10.000000	14.026917	9.082729	10.000000	11.057709	10.666514	2999
0.250000	0.250000	0.022607	0.863353	0.249763	0.652757	10.000000	11.479920	9.947546	10.000000	11.840184	9.977759	2999
0.250000	0.250000	0.033387	0.345330	0.207420	0.261657	10.000000	10.960162	11.024310	10.000000	11.342004	10.877141	2999
0.250000	0.250000	0.042823	0.321353	0.212333	0.244477	10.000000	10.852156	11.037196	10.000000	12.834370	9.652355	2999
0.250000	0.250000	0.036673	0.372460	0.211833	0.283213	10.000000	11.245884	10.561984	10.000000	10.950538	11.035310	2999
0.250000	0.250000	0.027607	0.305880	0.199723	0.232163	10.000000	11.027425	11.230378	10.000000	12.292729	9.605827	2999
0.250000	0.250000	0.040090	0.595547	0.235073	0.453127	10.000000	10.879254	10.671438	10.000000	11.920485	10.074768	2999
0.250000	0.250000	0.020843	0.815463	0.243257	0.616413	10.000000	11.748826	9.860356	10.000000	12.508027	9.775095	2999
0.250000	0.250000	0.026883	0.196650	0.189103	0.149830	10.000000	11.054735	11.260650	10.000000	12.685570	9.092530	2999
0.250000	0.250000	0.025767	0.819710	0.248120	0.620537	10.000000	12.479449	10.044868	10.000000	11.088729	10.401885	2999
0.250000	0.250000	0.026623	0.080763	0.178477	0.060740	10.000000	11.189930	11.531988	10.000000	11.210898	11.576781	2999
0.250000	0.250000	0.029657	0.727123	0.240653	0.551230	10.000000	11.742805	9.644806	10.000000	11.074406	10.317154	2999
0.250000	0.250000	0.033127	0.649757	0.236037	0.493357	10.000000	11.572365	9.877500	10.000000	10.983375	10.634344	2999
0.250000	0.250000	0.029547	0.573490	0.226623	0.434477	10.000000	12.908212	9.633217	10.000000	11.008099	10.712590	2999
0.250000	0.250000	0.021390	0.478933	0.211120	0.362890	10.000000	13.405070	9.116645	10.000000	11.571331	9.689672	2999
0.250000	0.250000	0.023880	0.439453	0.210287	0.332537	10.000000	11.153514	10.937893	10.000000	12.588542	9.334735	2999
0.250000	0.250000	0.021813	0.765177	0.239583	0.579300	10.000000	11.443472	10.053477	10.000000	12.847718	9.566074	2999
0.250000	0.250000	0.020403	0.766693	0.238480	0.579370	10.000000	12.982587	9.559171	10.000000	12.000123	10.010504	2999
0.250000	0.250000	0.021000	0.376170	0.202060	0.284433	10.000000	11.831580	9.669844	10.000000	12.003764	8.940937	2999
0.250000	0.250000	0.024000	0.281587	0.195160	0.212760	10.000000	12.112936	9.328315	10.000000	11.162206	11.298458	2999
0.250000	0.250000	0.039217	0.378343	0.214777	0.287400	10.000000	11.206519	10.639430	10.000000	10.913584	10.964421	2999
0.250000	0.250000	0.021107	0.778410	0.240747	0.587297	10.000000	13.933749	9.579420	10.000000	11.564125	10.157456	2999
0.250000	0.250000	0.034113	0.744813	0.245257	0.565830	10.000000	10.937187	10.438190	10.000000	11.583373	10.062450	2999
0.250000	0.250000	0.021667	0.906030	0.253163	0.685880	10.000000	11.314626	10.135977	10.000000	12.406291	10.131292	2999
0.250000	0.250000	0.027067	0.823473	0.249043	0.623667	10.000000	11.141544	10.258711	10.000000	11.958733	9.883664	2999
0.250000	0.250000	0.030680	0.378460	0.209350	0.285820	10.000000	11.009932	11.150054	10.000000	11.273260	10.136063	2999
0.250000	0.250000	0.037423	0.500177	0.225023	0.379973	10.000000	13.160637	9.713359	10.000000	10.903850	10.781660	2999
0.250000	0.250000	0.020273	0.106323	0.175270	0.080183	10.000000	12.099542	9.194496	10.000000	13.307122	8.471631	2999
0.250000	0.250000	0.021277	0.436953	0.208173	0.330073	10.000000	12.236857	9.836856	10.000000	12.057822	9.001698	2999
0.250000	0.250000	0.034443	0.735950	0.244787	0.559180	10.000000	10.963726	10.447185	10.000000	11.260627	10.089360	2999
0.250000	0.250000	0.034473	0.325537	0.206233	0.247423	10.000000	10.917532	11.182534	10.000000	15.179543	10.395891	2999
0.250000	0.250000	0.038497	0.446400	0.220640	0.339143	10.000000	10.889271	10.897904	10.000000	13.525895	9.817622	2999
0.250000	0.250000	0.021800	0.536210	0.217520	0.405650	10.000000	11.433144	9.124591	10.000000	12.011070	10.056476	2999
0.250000	0.250000	0.022460	0.474543	0.212503	0.359677	10.000000	11.617545	9.060575	10.000000	11.781425	9.868642	2999
0.250000	0.250000	0.020003	0.525723	0.215313	0.397973	10.000000	13.896595	9.361291	10.000000	12.534910	9.419281	2999
0.250000	0.250000	0.021223	0.767497	0.238943	0.581067	10.000000	11.941428	9.571496	10.000000	11.627097	10.024249	2999
