mut_par_size	mut_par_patt	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.013327	0.039587	0.173693	0.020220	10.000000	12.132673	10.000606	10.000000	10.938401	12.000017	2999
0.250000	0.250000	0.011763	0.042247	0.173073	0.021697	10.000000	11.948677	9.999873	10.000000	10.961768	12.000734	2999
0.250000	0.250000	0.011917	0.047790	0.175587	0.024607	10.000000	12.550277	10.000100	10.000000	10.980060	11.999546	2999
0.250000	0.250000	0.006410	0.061827	0.176257	0.031427	10.000000	12.000238	9.999978	10.000000	11.074308	12.000457	2999
0.250000	0.250000	0.012267	0.040697	0.172510	0.020840	10.000000	12.148891	9.999839	10.000000	10.950034	12.000106	2999
0.250000	0.250000	0.013213	0.039400	0.173177	0.020207	10.000000	12.434681	10.000037	10.000000	10.941651	11.999853	2999
0.250000	0.250000	0.013343	0.041303	0.174550	0.021223	10.000000	12.296134	9.999735	10.000000	10.945661	12.000547	2999
0.250000	0.250000	0.011487	0.042860	0.172973	0.021800	10.000000	12.131704	10.000176	10.000000	10.968946	11.999971	2999
0.250000	0.250000	0.010703	0.044693	0.173537	0.022710	10.000000	11.864711	10.000516	10.000000	10.974240	11.999975	2999
0.250000	0.250000	0.007027	0.057190	0.175353	0.029240	10.000000	12.662594	9.999740	10.000000	11.049168	11.999890	2999
0.250000	0.250000	0.016943	0.034507	0.173913	0.017797	10.000000	11.592810	9.999294	10.000000	10.905939	12.000117	2999
0.250000	0.250000	0.014607	0.037103	0.173417	0.018993	10.000000	13.463558	9.999826	10.000000	10.924642	12.000689	2999
0.250000	0.250000	0.018597	0.032443	0.175483	0.016893	10.000000	11.761660	10.000110	10.000000	10.891113	11.999864	2999
0.250000	0.250000	0.009007	0.048953	0.173090	0.025067	10.000000	13.115794	10.000262	10.000000	11.002419	12.000125	2999
0.250000	0.250000	0.011037	0.045640	0.174513	0.023283	10.000000	13.402998	9.999629	10.000000	10.974883	12.000734	2999
0.250000	0.250000	0.017083	0.033573	0.174127	0.017367	10.000000	11.981226	10.000039	10.000000	10.897112	12.000453	2999
0.250000	0.250000	0.012663	0.040697	0.173803	0.021213	10.000000	11.672355	9.999921	10.000000	10.947443	11.999936	2999
0.250000	0.250000	0.007743	0.053613	0.174330	0.027107	10.000000	12.387857	9.999466	10.000000	11.028792	11.999738	2999
0.250000	0.250000	0.010973	0.044517	0.173680	0.022753	10.000000	14.562538	9.999511	10.000000	10.971535	11.998910	2999
0.250000	0.250000	0.009970	0.046730	0.173230	0.023803	10.000000	14.086368	10.000428	10.000000	10.986647	12.000090	2999
0.250000	0.250000	0.011700	0.042443	0.173510	0.021730	10.000000	12.452893	9.999325	10.000000	10.961641	11.999444	2999
0.250000	0.250000	0.009360	0.048043	0.174133	0.024457	10.000000	11.819359	10.000040	10.000000	11.003810	12.000091	2999
0.250000	0.250000	0.013100	0.039893	0.172937	0.020640	10.000000	12.713775	9.999573	10.000000	10.938930	11.999501	2999
0.250000	0.250000	0.008827	0.049400	0.173213	0.024997	10.000000	11.729218	10.000054	10.000000	11.004450	12.000217	2999
0.250000	0.250000	0.015133	0.035623	0.173620	0.018260	10.000000	12.415473	10.000732	10.000000	10.914549	11.999883	2999
0.250000	0.250000	0.015913	0.034263	0.173250	0.017390	10.000000	13.083888	9.999099	10.000000	10.902020	11.999033	2999
0.250000	0.250000	0.012507	0.040597	0.172963	0.020993	10.000000	13.891157	10.000187	10.000000	10.947472	12.000141	2999
0.250000	0.250000	0.007137	0.054293	0.174233	0.027620	10.000000	12.159910	10.000651	10.000000	11.037121	12.000423	2999
0.250000	0.250000	0.014027	0.039510	0.174213	0.020343	10.000000	11.778824	10.000262	10.000000	10.934536	11.999816	2999
0.250000	0.250000	0.012627	0.040583	0.173203	0.020830	10.000000	12.571067	9.999707	10.000000	10.949020	12.000301	2999
