"","size","size_thr","par_size","patt","patt_thr","par_patt"
"1","10.0000","12.5835","10.0000","10.0000","10.8684","12.0000"
"2","10.0000","11.0965","10.5000","10.0000","10.7152","11.5000"
"3","10.0000","10.7335","11.0000","10.0000","10.7318","10.9999"
"4","10.0000","10.7082","11.5000","10.0000","11.0955","10.5000"
"5","10.0000","10.8713","12.0000","10.0000","12.6795","10.0000"
