"","t1_t1","t1_t2","t2_t1","t2_t2","both_t1","both_t2"
"1","0.17839","0.56420","0.16785","0.57463","0.01966","0.03026"
"2","0.15108","0.36807","0.14899","0.36999","0.04728","0.07942"
"3","0.09935","0.19497","0.09733","0.19777","0.07315","0.10757"
"4","0.04964","0.08455","0.04929","0.08481","0.04959","0.07762"
"5","0.01990","0.02931","0.01931","0.03000","0.01925","0.03060"
